ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
286,Franklin St & Adams St (Temp),15,15,In Service,41.879434091,-87.635504007,"(41.87943409140013, -87.63550400733948)"
375,Sacramento Blvd & Franklin Blvd,11,11,In Service,41.890468792,-87.702607512,"(41.89046879243862, -87.70260751247406)"
636,Orleans St & Hubbard St,11,11,In Service,41.890028,-87.636618,"(41.890028, -87.636618)"
1448642183732401786,Woodlawn & 103rd - Olive Harvey Vaccination Site,10,10,In Service,41.707338,-87.59399,"(41.707338, -87.59399)"
377,Kedzie Ave & Lake St,15,15,In Service,41.884603285,-87.706303744,"(41.88460328501, -87.7063037436)"
378,California Ave & Lake St,11,11,In Service,41.884453957,-87.696298137,"(41.88445395657, -87.6962981368)"
1448642188027369090,Steelworkers Park,6,6,In Service,41.738246,-87.531067,"(41.738246, -87.531067)"
1448642179437434486,Martin Luther King Dr & 111th St,6,6,In Service,41.692615,-87.615425,"(41.692615, -87.615425)"
1448642183732401788,Maryland Ave & 104th St,10,10,In Service,41.705588,-87.602938,"(41.705588, -87.602938)"
1448642188027369086,Indiana Ave & 133rd St,6,6,In Service,41.653564,-87.617054,"(41.653564, -87.617054)"
519,Wolcott Ave & Fargo Ave,11,11,In Service,42.016977,-87.677725,"(42.016977, -87.677725)"
1448642179437434482,W 103rd St & S Avers Ave,10,10,In Service,41.705846,-87.717074,"(41.705846, -87.717074)"
1436495109493626544,W Washington Blvd & N Peoria St,6,6,In Service,41.883043,-87.649931,"(41.883043, -87.649931)"
1436495105198659246,N Carpenter St & W Lake St,6,6,In Service,41.885586,-87.6531893,"(41.885586, -87.6531893)"
1436495109493626546,N Green St & W Lake St,8,8,In Service,41.885579,-87.648484,"(41.885579, -87.648484)"
1436495115557663136,N Southport Ave & W Newport Ave,8,8,In Service,41.944019,-87.663975,"(41.944019, -87.663975)"
1500206163166594382,Ping Tom Park (East),6,6,In Service,41.8579886,-87.6319447,"(41.8579886, -87.6319447)"
684,Prospect Sq & 91st St,15,15,In Service,41.7282338,-87.6675239,"(41.7282338, -87.6675239)"
268,DuSable Lake Shore Dr & North Blvd,39,39,In Service,41.911722,-87.626804,"(41.911722, -87.626804)"
75,Canal St & Jackson Blvd,43,43,In Service,41.877245,-87.639366,"(41.877245, -87.639366)"
168,Michigan Ave & 14th St,19,19,In Service,41.864059,-87.623727,"(41.864059, -87.623727)"
232,Pine Grove Ave & Waveland Ave,23,23,In Service,41.949472741,-87.646452785,"(41.94947274088333, -87.64645278453827)"
322,Kimbark Ave & 53rd St,19,19,In Service,41.799568,-87.594747,"(41.799568, -87.594747)"
316,Damen Ave & Sunnyside Ave,19,19,In Service,41.96325,-87.679258,"(41.96325, -87.679258)"
1575949506683597522,Major Ave & Bloomingdale Ave,9,9,In Service,41.9125923,-87.7686995,"(41.9125923, -87.7686995)"
480,Albany Ave & Montrose Ave,11,11,In Service,41.961041,-87.705866,"(41.961041, -87.705866)"
1571105063705518104,Harlem Ave & Grace St,9,9,In Service,41.9488531,-87.806938,"(41.9488531, -87.806938)"
91,Clinton St & Washington Blvd,31,31,In Service,41.88338,-87.64117,"(41.88338, -87.64117)"
642,Latrobe Ave & Chicago Ave,7,7,In Service,41.894745,-87.756895,"(41.894745, -87.756895)"
537,Kenton Ave & Madison St,11,11,In Service,41.880708,-87.741018,"(41.880708, -87.741018)"
623,Michigan Ave & 8th St,43,43,In Service,41.872773,-87.623981,"(41.872773, -87.623981)"
220,Clark St & Drummond Pl,23,23,In Service,41.931248,-87.644336,"(41.931248, -87.644336)"
462,Winchester (Ravenswood) Ave & Balmoral Ave,15,15,In Service,41.979762,-87.67753,"(41.979762, -87.67753)"
18,Wacker Dr & Washington St,15,15,In Service,41.883143364,-87.637242079,"(41.88314336439022, -87.63724207878113)"
128,Damen Ave & Chicago Ave,19,19,In Service,41.895769,-87.67722,"(41.895769, -87.67722)"
655,Hoyne Ave & Balmoral Ave,15,15,In Service,41.979851,-87.681932,"(41.979851, -87.681932)"
533,Central Park Blvd & 5th Ave,11,11,In Service,41.875679,-87.71547,"(41.875679, -87.71547)"
170,Clinton St & 18th St,15,15,In Service,41.85795,-87.640826,"(41.85795, -87.640826)"
635,Fairbanks St & Superior St,11,11,In Service,41.895748,-87.620104,"(41.895748, -87.620104)"
1561012878716023346,Lawndale Ave & 30th St,12,12,In Service,41.8389124,-87.7168955,"(41.8389124, -87.7168955)"
38,Clark St & Lake St,27,27,In Service,41.886020828,-87.630876058,"(41.88602082773, -87.6308760584)"
123,California Ave & Milwaukee Ave,15,15,In Service,41.922695,-87.697153,"(41.922695, -87.697153)"
429,Cottage Grove Ave & 67th St,11,11,In Service,41.773720952,-87.60563486,"(41.77372095205, -87.60563486)"
193,State St & 29th St,11,11,In Service,41.841707,-87.626938,"(41.841707, -87.626938)"
530,Laramie Ave & Kinzie St,11,11,In Service,41.887832,-87.755527,"(41.887832, -87.755527)"
255,Indiana Ave & Roosevelt Rd,39,39,In Service,41.867888,-87.623041,"(41.867888, -87.623041)"
414,Canal St & Taylor St,15,15,In Service,41.870257,-87.639474,"(41.870257, -87.639474)"
450,Warren Park West,11,11,In Service,42.001785,-87.688829,"(42.001785, -87.688829)"
382,Western Ave & Congress Pkwy,19,19,In Service,41.874748851,-87.686445276,"(41.87474885079, -87.6864452757)"
384,Halsted St & 51st St,11,11,In Service,41.80183164,-87.645213904,"(41.80183164049, -87.645213904)"
1561012900190859852,Tripp Ave & 31st St,9,9,In Service,41.836966,-87.730502,"(41.836966, -87.730502)"
552,Ashland Ave & McDowell Ave,11,11,In Service,41.80887,-87.66454,"(41.80887, -87.66454)"
215,Damen Ave & Madison St,15,15,In Service,41.88137,-87.67493,"(41.88137, -87.67493)"
386,Halsted St & 56th St,11,11,In Service,41.792929646,-87.644990057,"(41.79292964599, -87.6449900565)"
489,Drake Ave & Addison St,15,15,In Service,41.947326,-87.717582,"(41.947326, -87.717582)"
553,Elizabeth St & 47th St,11,11,In Service,41.80839,-87.656526,"(41.80839, -87.656526)"
460,Clark St & Bryn Mawr Ave,15,15,In Service,41.983593,-87.669154,"(41.983593, -87.669154)"
388,Halsted & 63rd - Kennedy-King Vaccination Site,11,11,In Service,41.779381142,-87.644620815,"(41.77938114228, -87.6446208145)"
39,Wabash Ave & Adams St,23,23,In Service,41.879472352,-87.625688606,"(41.87947235235, -87.6256886059)"
130,Damen Ave & Division St,19,19,In Service,41.903266,-87.678435,"(41.903266, -87.678435)"
345,Lake Park Ave & 56th St,19,19,In Service,41.793242,-87.587782,"(41.793242, -87.587782)"
481,California Ave & Montrose Ave,15,15,In Service,41.961068,-87.695439,"(41.961068, -87.695439)"
119,Ashland Ave & Lake St,19,19,In Service,41.88592,-87.66717,"(41.88592, -87.66717)"
249,Montrose Harbor,31,31,In Service,41.963982,-87.638181,"(41.963982, -87.638181)"
163,Damen Ave & Clybourn Ave,15,15,In Service,41.931931,-87.677856,"(41.931931, -87.677856)"
578,Bennett Ave & 79th St,11,11,In Service,41.751785,-87.578496,"(41.751785, -87.578496)"
1593766338948359058,Lawler Ave & 50th St,9,9,In Service,41.802209,-87.7489007,"(41.802209, -87.7489007)"
207,Emerald Ave & 28th St,15,15,In Service,41.84358,-87.645368,"(41.84358, -87.645368)"
518,Conservatory Dr & Lake St,11,11,In Service,41.885502,-87.716866,"(41.885502, -87.716866)"
4,Burnham Harbor,23,23,In Service,41.856268,-87.613348,"(41.856268, -87.613348)"
144,Larrabee St & Webster Ave,19,19,In Service,41.921822,-87.64414,"(41.921822, -87.64414)"
205,Paulina St & 18th St,15,15,In Service,41.857901,-87.668745,"(41.857901, -87.668745)"
72,Wabash Ave & 16th St,39,39,In Service,41.860384,-87.625813,"(41.860384, -87.625813)"
584,Ellis Ave & 83rd St,11,11,In Service,41.744123,-87.599034,"(41.744123, -87.599034)"
582,Phillips Ave & 83rd St,11,11,In Service,41.744531,-87.56506,"(41.744531, -87.56506)"
496,Avers Ave & Belmont Ave,11,11,In Service,41.939408,-87.723574,"(41.939408, -87.723574)"
2,Buckingham Fountain,39,39,In Service,41.876535194,-87.620472908,"(41.8765351944122, -87.62047290802002)"
594,Western Blvd & 48th Pl,11,11,In Service,41.805661,-87.683392,"(41.805661, -87.683392)"
179,MLK Jr Dr & Pershing Rd,15,15,In Service,41.8246,-87.61678,"(41.8246, -87.61678)"
493,Western Ave & Roscoe St,11,11,In Service,41.943034,-87.687288,"(41.943034, -87.687288)"
601,Central St Metra,15,15,In Service,42.063598,-87.69873,"(42.063598, -87.69873)"
538,Cicero Ave & Flournoy St,11,11,In Service,41.872131,-87.746619,"(41.872131, -87.746619)"
223,Clifton Ave & Armitage Ave,15,15,In Service,41.918216,-87.656936,"(41.918216, -87.656936)"
1582242285272847908,California Ave & Marquette Rd,9,9,In Service,41.7715789,-87.6933566,"(41.7715789, -87.6933566)"
126,Clark St & North Ave,15,15,In Service,41.911974,-87.631942,"(41.911974, -87.631942)"
115,Sheffield Ave & Wellington Ave,23,23,In Service,41.936253483,-87.652662098,"(41.9362534831413, -87.65266209840775)"
143,Sedgwick St & Webster Ave,15,15,In Service,41.922167,-87.638888,"(41.922167, -87.638888)"
147,Indiana Ave & 26th St,15,15,In Service,41.845687,-87.622481,"(41.845687, -87.622481)"
61,Wood St & Milwaukee Ave,19,19,In Service,41.907655,-87.672552,"(41.907655, -87.672552)"
544,Austin Blvd & Madison St,11,11,In Service,41.880281,-87.774453,"(41.880281, -87.774453)"
336,Cottage Grove Ave & 47th St,15,15,In Service,41.809855,-87.606755,"(41.809855, -87.606755)"
396,Yates Blvd & 75th St,11,11,In Service,41.758768,-87.56644,"(41.758768, -87.56644)"
554,Damen Ave & 51st St,7,7,In Service,41.800908,-87.674684,"(41.800908, -87.674684)"
565,Ashland Ave & 66th St,7,7,In Service,41.774074,-87.663815,"(41.774074, -87.663815)"
1561012895895892548,Kildare Ave & 26th St,9,9,In Service,41.8442315,-87.7321534,"(41.8442315, -87.7321534)"
653,Cornell Dr & Hayes Dr,11,11,In Service,41.780595,-87.584846,"(41.780595, -87.584846)"
289,Wells St & Concord Ln,19,19,In Service,41.912133,-87.634656,"(41.912133, -87.634656)"
162,Damen Ave & Wellington Ave,15,15,In Service,41.93588,-87.67842,"(41.93588, -87.67842)"
390,Wentworth Ave & 63rd St,11,11,In Service,41.780079633,-87.629746305,"(41.78007963264, -87.6297463052)"
93,Sheffield Ave & Willow St,15,15,In Service,41.913688,-87.652855,"(41.913688, -87.652855)"
580,Exchange Ave & 79th St,11,11,In Service,41.751731,-87.552812,"(41.751731, -87.552812)"
391,Halsted St & 69th St,11,11,In Service,41.76906172,-87.644613578,"(41.76906172032, -87.6446135779)"
483,Avondale Ave & Irving Park Rd,19,19,In Service,41.953393,-87.732002,"(41.953393, -87.732002)"
15,Racine Ave & 18th St,15,15,In Service,41.858166,-87.656495,"(41.858166, -87.656495)"
271,Cottage Grove Ave & 43rd St,11,11,In Service,41.816499,-87.606582,"(41.816499, -87.606582)"
100,Orleans St & Merchandise Mart Plaza,35,35,In Service,41.888243,-87.63639,"(41.888243, -87.63639)"
645,Archer (Damen) Ave & 37th St,11,11,In Service,41.826712,-87.683144,"(41.826712, -87.683144)"
264,Stetson Ave & South Water St,19,19,In Service,41.886835,-87.62232,"(41.886835, -87.62232)"
282,Halsted St & Maxwell St,15,15,In Service,41.864883,-87.647071,"(41.864883, -87.647071)"
1575949498093662918,Menard Ave & Division St,9,9,In Service,41.902269,-87.7704807,"(41.902269, -87.7704807)"
23,Orleans St & Elm St,15,15,In Service,41.902924,-87.637715,"(41.902924, -87.637715)"
534,Karlov Ave & Madison St,11,11,In Service,41.88085,-87.727907,"(41.88085, -87.727907)"
517,Clark St & Jarvis Ave,11,11,In Service,42.015963,-87.675005,"(42.015963, -87.675005)"
117,Wilton Ave & Belmont Ave,27,27,In Service,41.94018,-87.65304,"(41.94018, -87.65304)"
137,Morgan Ave & 14th Pl,15,15,In Service,41.862378,-87.651062,"(41.862378, -87.651062)"
303,Broadway & Cornelia Ave,23,23,In Service,41.945529,-87.646439,"(41.945529, -87.646439)"
299,Halsted St & Roscoe St,15,15,In Service,41.94367,-87.64895,"(41.94367, -87.64895)"
524,Austin Blvd & Chicago Ave,7,7,In Service,41.894887,-87.774704,"(41.894887, -87.774704)"
302,Sheffield Ave & Wrightwood Ave,31,31,In Service,41.928712,-87.653833,"(41.928712, -87.653833)"
53,Wells St & Huron St,27,27,In Service,41.894722,-87.634362,"(41.894722, -87.634362)"
183,Damen Ave & Thomas St (Augusta Blvd),23,23,In Service,41.901315,-87.677409,"(41.901315, -87.677409)"
127,Lincoln Ave & Fullerton Ave,15,15,In Service,41.924161029,-87.646380365,"(41.924161029067626, -87.64638036489487)"
392,Perry Ave & 69th St,11,11,In Service,41.76929309,-87.628195929,"(41.76929308995, -87.6281959291)"
393,Calumet Ave & 71st St,11,11,In Service,41.765508006,-87.616917925,"(41.76550800581, -87.616917925)"
395,Jeffery Blvd & 76th St,11,11,In Service,41.757120068,-87.575839359,"(41.75712006802, -87.5758393587)"
520,Greenview Ave & Jarvis Ave,19,19,In Service,42.015962,-87.66857,"(42.015962, -87.66857)"
398,Rainbow Beach,15,15,In Service,41.757871448,-87.54938625,"(41.75787144829, -87.54938625)"
260,Kedzie Ave & Milwaukee Ave,35,35,In Service,41.929567,-87.707857,"(41.929567, -87.707857)"
399,South Shore Dr & 74th St,11,11,In Service,41.76218896,-87.55927465,"(41.76218896038, -87.55927465)"
40,LaSalle St & Adams St,15,15,In Service,41.879344373,-87.631985221,"(41.87934437346, -87.6319852213)"
556,Throop St & 52nd St,7,7,In Service,41.799659,-87.657195,"(41.799659, -87.657195)"
595,Wabash Ave & 87th St,11,11,In Service,41.736646,-87.622634,"(41.736646, -87.622634)"
1606778059648526978,Whipple/Irving Park,9,9,In Service,41.954189,-87.704448,"(41.954189, -87.704448)"
403,Wentworth Ave & 33rd St,15,15,In Service,41.834529886,-87.631822981,"(41.83452988563, -87.6318229814)"
29,Noble St & Milwaukee Ave,15,15,In Service,41.90068,-87.6626,"(41.90068, -87.6626)"
333,Ashland Ave & Blackhawk St,15,15,In Service,41.907066,-87.667252,"(41.907066, -87.667252)"
577,Stony Island Ave & South Chicago Ave,11,11,In Service,41.751173,-87.585337,"(41.751173, -87.585337)"
203,Western Ave & 21st St,15,15,In Service,41.854109,-87.685838,"(41.854109, -87.685838)"
330,Lincoln Ave & Addison St,19,19,In Service,41.946176,-87.673308,"(41.946176, -87.673308)"
527,Western Ave & Howard St,15,15,In Service,42.018901,-87.690048,"(42.018901, -87.690048)"
539,Cicero Ave & Quincy St,11,11,In Service,41.877613,-87.745405,"(41.877613, -87.745405)"
169,Canal St & Harrison St,15,15,In Service,41.874255,-87.639573,"(41.874255, -87.639573)"
385,Princeton Ave & Garfield Blvd,11,11,In Service,41.794982,-87.633124,"(41.794982, -87.633124)"
204,Prairie Ave & Garfield Blvd,11,11,In Service,41.794853,-87.618691,"(41.794853, -87.618691)"
659,Leavitt St & Chicago Ave,15,15,In Service,41.895501,-87.682017,"(41.895501, -87.682017)"
343,Racine Ave & Wrightwood Ave,15,15,In Service,41.928887,-87.658971,"(41.928887, -87.658971)"
540,Laramie Ave & Madison St,11,11,In Service,41.880207,-87.755337,"(41.880207, -87.755337)"
381,Western Ave & Monroe St,15,15,In Service,41.879787709,-87.686112808,"(41.8797877089, -87.686112808)"
118,Sedgwick St & North Ave,19,19,In Service,41.911386,-87.638677,"(41.911386, -87.638677)"
212,Wells St & Hubbard St,31,31,In Service,41.889906,-87.634266,"(41.889906, -87.634266)"
456,2112 W Peterson Ave,11,11,In Service,41.991178,-87.683593,"(41.991178, -87.683593)"
14,Morgan St & 18th St,15,15,In Service,41.858086,-87.651073,"(41.858086, -87.651073)"
109,900 W Harrison St,19,19,In Service,41.874754,-87.649807,"(41.874754, -87.649807)"
227,Southport Ave & Waveland Ave,23,23,In Service,41.94815,-87.66394,"(41.94815, -87.66394)"
174,Canal St & Madison St,35,35,In Service,41.882091,-87.639833,"(41.882091, -87.639833)"
92,Carpenter St & Huron St,19,19,In Service,41.894556,-87.653449,"(41.894556, -87.653449)"
55,Halsted St & Roosevelt Rd,23,23,In Service,41.867324,-87.648625,"(41.867324, -87.648625)"
349,Halsted St & Wrightwood Ave,15,15,In Service,41.929143,-87.649077,"(41.929143, -87.649077)"
436,Fairfield Ave & Roosevelt Rd,11,11,In Service,41.866624,-87.694521,"(41.866624, -87.694521)"
559,Racine Ave & Garfield Blvd,11,11,In Service,41.794228,-87.655073,"(41.794228, -87.655073)"
567,May St & 69th St,11,11,In Service,41.768938,-87.652934,"(41.768938, -87.652934)"
181,LaSalle St & Illinois St,31,31,In Service,41.890762,-87.631697,"(41.890762, -87.631697)"
243,Lincoln Ave & Sunnyside Ave,15,15,In Service,41.963004,-87.684781,"(41.963004, -87.684781)"
338,Calumet Ave & 18th St,15,15,In Service,41.857611,-87.619407,"(41.857611, -87.619407)"
1594046396693172926,Albany Ave & 16th St,9,9,In Service,41.85936,-87.70302,"(41.85936, -87.70302)"
660,Sheridan Rd & Columbia Ave,15,15,In Service,42.004583,-87.661406,"(42.004583, -87.661406)"
407,State St & Pershing Rd,11,11,In Service,41.823015238,-87.626568018,"(41.82301523798, -87.6265680185)"
59,Wabash Ave & Roosevelt Rd,23,23,In Service,41.867227,-87.625961,"(41.867227, -87.625961)"
626,Delano Ct & Roosevelt Rd,19,19,In Service,41.867491,-87.63219,"(41.867491, -87.63219)"
86,Eckhart Park,19,19,In Service,41.89637337,-87.66098386,"(41.89637337, -87.66098386)"
295,Broadway & Argyle St,19,19,In Service,41.973815,-87.65966,"(41.973815, -87.65966)"
475,Washtenaw Ave & Lawrence Ave,15,15,In Service,41.968987,-87.696027,"(41.968987, -87.696027)"
177,Theater on the Lake,31,31,In Service,41.926277,-87.630834,"(41.926277, -87.630834)"
574,Vernon Ave & 79th St,11,11,In Service,41.75094,-87.61379,"(41.75094, -87.61379)"
329,DuSable Lake Shore Dr & Diversey Pkwy,23,23,In Service,41.932588,-87.636427,"(41.932588, -87.636427)"
52,Michigan Ave & Lake St,35,35,In Service,41.886024,-87.624117,"(41.886024, -87.624117)"
274,Racine Ave & 15th St,15,15,In Service,41.861267,-87.656625,"(41.861267, -87.656625)"
405,Wentworth Ave & 35th St,15,15,In Service,41.830777,-87.632504,"(41.830777, -87.632504)"
277,Ashland Ave & Grand Ave,15,15,In Service,41.891072,-87.666611,"(41.891072, -87.666611)"
238,Wolcott (Ravenswood) Ave & Montrose Ave,15,15,In Service,41.961406,-87.676169,"(41.961406, -87.676169)"
261,Hermitage Ave & Polk St,15,15,In Service,41.871514,-87.669886,"(41.871514, -87.669886)"
244,Ravenswood Ave & Irving Park Rd,19,19,In Service,41.95469,-87.67393,"(41.95469, -87.67393)"
550,Central Ave & Chicago Ave,11,11,In Service,41.894958,-87.764902,"(41.894958, -87.764902)"
666,Cherry Ave & Blackhawk St,15,15,In Service,41.907221,-87.655618,"(41.907221, -87.655618)"
409,Shields Ave & 43rd St,11,11,In Service,41.816207679,-87.63481935,"(41.81620767856, -87.6348193497)"
